Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, PASSATO REMOTO, io pregai, tu pregasti, lui/lei pregò, noi pregammo, voi pregaste, loro pregarono
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, FUTURO SEMPLICE, io pregherò, tu pregherai, lui/lei pregherà, noi pregheremo, voi pregherete, loro pregheranno
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, PASSATO PROSSIMO, io ho pregato, tu hai pregato, lui/lei ha pregato, noi abbiamo pregato, voi avete pregato, loro hanno pregato
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo pregato, tu avevi pregato, lui/lei aveva pregato, noi avevamo pregato, voi avevate pregato, loro avevano pregato
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi pregato, tu avesti pregato, lui/lei ebbe pregato, noi avemmo pregato, voi aveste pregato, loro ebbero pregato
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, FUTURO ANTERIORE, io avrò pregato, tu avrai pregato, lui/lei avrà pregato, noi avremo pregato, voi avrete pregato, loro avranno pregato
[to beg/plead/implore/beseech ],PREGARE, CONGIUNTIVO, PRESENTE, che io preghi, che tu preghi, che lui/lei preghi, che noi preghiamo, che voi preghiate, che loro preghino
[to beg/plead/implore/beseech ],PREGARE, CONGIUNTIVO, IMPERFETTO, che io pregassi, che tu pregassi, che lui/lei pregasse, che noi pregassimo, che voi pregaste, che loro pregassero
[to beg/plead/implore/beseech ],PREGARE, CONGIUNTIVO, PASSATO, che io abbia pregato, che tu abbia pregato, che lui/lei abbia pregato, che noi abbiamo pregato, che voi abbiate pregato, che loro abbiano pregato
[to beg/plead/implore/beseech ],PREGARE, CONGIUNTIVO, TRAPASSATO, che io avessi pregato, che tu avessi pregato, che lui/lei avesse pregato, che noi avessimo pregato, che voi aveste pregato, che loro avessero pregato
[to beg/plead/implore/beseech ],PREGARE, CONDIZIONALE, Presente, io pregherei, tu pregheresti, lui/lei pregherebbe, noi pregheremmo, voi preghereste, loro pregherebbero
[to beg/plead/implore/beseech ],PREGARE, CONDIZIONALE, Passato, io avrei pregato, tu avresti pregato, lui/lei avrebbe pregato, noi avremmo pregato, voi avreste pregato, loro avrebbero pregato
[to beg/plead/implore/beseech ],PREGARE, IMPERATIVO, IMPERATIVO, PRESENTE,  prega, preghi, preghiamo, pregate, preghino
[to unite/join ],UNIRE, INDICATIVO, PRESENTE, io unisco, tu unisci, lui/lei unisce, noi uniamo, voi unite, loro uniscono
[to unite/join ],UNIRE, INDICATIVO, IMPERFETTO, io univo, tu univi, lui/lei univa, noi univamo, voi univate, loro univano
[to unite/join ],UNIRE, INDICATIVO, PASSATO REMOTO, io unii, tu unisti, lui/lei unì, noi unimmo, voi uniste, loro unirono
[to unite/join ],UNIRE, INDICATIVO, FUTURO SEMPLICE, io unirò, tu unirai, lui/lei unirà, noi uniremo, voi unirete, loro uniranno
[to unite/join ],UNIRE, INDICATIVO, PASSATO PROSSIMO, io ho unito, tu hai unito, lui/lei ha unito, noi abbiamo unito, voi avete unito, loro hanno unito
[to unite/join ],UNIRE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo unito, tu avevi unito, lui/lei aveva unito, noi avevamo unito, voi avevate unito, loro avevano unito
[to unite/join ],UNIRE, INDICATIVO, TRAPASSATO REMOTO, io ebbi unito, tu avesti unito, lui/lei ebbe unito, noi avemmo unito, voi aveste unito, loro ebbero unito
[to unite/join ],UNIRE, INDICATIVO, FUTURO ANTERIORE, io avrò unito, tu avrai unito, lui/lei avrà unito, noi avremo unito, voi avrete unito, loro avranno unito
[to unite/join ],UNIRE, CONGIUNTIVO, PRESENTE, che io unisca, che tu unisca, che lui/lei unisca, che noi uniamo, che voi uniate, che loro uniscano
[to unite/join ],UNIRE, CONGIUNTIVO, IMPERFETTO, che io unissi, che tu unissi, che lui/lei unisse, che noi unissimo, che voi uniste, che loro unissero
[to unite/join ],UNIRE, CONGIUNTIVO, PASSATO, che io abbia unito, che tu abbia unito, che lui/lei abbia unito, che noi abbiamo unito, che voi abbiate unito, che loro abbiano unito
[to unite/join ],UNIRE, CONGIUNTIVO, TRAPASSATO, che io avessi unito, che tu avessi unito, che lui/lei avesse unito, che noi avessimo unito, che voi aveste unito, che loro avessero unito
[to unite/join ],UNIRE, CONDIZIONALE, Presente, io unirei, tu uniresti, lui/lei unirebbe, noi uniremmo, voi unireste, loro unirebbero
[to unite/join ],UNIRE, CONDIZIONALE, Passato, io avrei unito, tu avresti unito, lui/lei avrebbe unito, noi avremmo unito, voi avreste unito, loro avrebbero unito
[to unite/join ],UNIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  unisci, unisca, uniamo, unite, uniscano
[to interest ],INTERESSARE, INDICATIVO, PRESENTE, io interesso, tu interessi, lui/lei interessa, noi interessiamo, voi interessate, loro interessano
[to interest ],INTERESSARE, INDICATIVO, IMPERFETTO, io interessavo, tu interessavi, lui/lei interessava, noi interessavamo, voi interessavate, loro interessavano
[to interest ],INTERESSARE, INDICATIVO, PASSATO REMOTO, io interessai, tu interessasti, lui/lei interessò, noi interessammo, voi interessaste, loro interessarono
[to interest ],INTERESSARE, INDICATIVO, FUTURO SEMPLICE, io interesserò, tu interesserai, lui/lei interesserà, noi interesseremo, voi interesserete, loro interesseranno
[to interest ],INTERESSARE, INDICATIVO, PASSATO PROSSIMO, io sono interessato/a, tu sei interessato/a, lui/lei è interessato/a, noi siamo interessati/e, voi siete interessati/e, loro sono interessati/e
[to interest ],INTERESSARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero interessato/a, tu eri interessato/a, lui/lei era interessato/a, noi eravamo interessati/e, voi eravate interessati/e, loro erano interessati/e
[to interest ],INTERESSARE, INDICATIVO, TRAPASSATO REMOTO, io fui interessato/a, tu fosti interessato/a, lui/lei fu interessato/a, noi fummo interessati/e, voi foste interessati/e, loro furono interessati/e
[to interest ],INTERESSARE, INDICATIVO, FUTURO ANTERIORE, io sarò interessato/a, tu sarai interessato/a, lui/lei sarà interessato/a, noi saremo interessati/e, voi sarete interessati/e, loro saranno interessati/e
[to interest ],INTERESSARE, CONGIUNTIVO, PRESENTE, che io interessi, che tu interessi, che lui/lei interessi, che noi interessiamo, che voi interessiate, che loro interessino
[to interest ],INTERESSARE, CONGIUNTIVO, IMPERFETTO, che io interessassi, che tu interessassi, che lui/lei interessasse, che noi interessassimo, che voi interessaste, che loro interessassero
[to interest ],INTERESSARE, CONGIUNTIVO, PASSATO, che io sia interessato/a, che tu sia interessato/a, che lui/lei sia interessato/a, che noi siamo interessati/e, che voi siate interessati/e, che loro siano interessati/e
[to interest ],INTERESSARE, CONGIUNTIVO, TRAPASSATO, che io fossi interessato/a, che tu fossi interessato/a, che lui/lei fosse interessato/a, che noi fossimo interessati/e, che voi foste interessati/e, che loro fossero interessati/e
[to interest ],INTERESSARE, CONDIZIONALE, Presente, io interesserei, tu interesseresti, lui/lei interesserebbe, noi interesseremmo, voi interessereste, loro interesserebbero
[to interest ],INTERESSARE, CONDIZIONALE, Passato, io sarei interessato/a, tu saresti interessato/a, lui/lei sarebbe interessato/a, noi saremmo interessati/e, voi sareste interessati/e, loro sarebbero interessati/e
[to interest ],INTERESSARE, IMPERATIVO, IMPERATIVO, PRESENTE,  interessa, interessi, interessiamo, interessate, interessino
[to ski ],SCIARE, INDICATIVO, PRESENTE, io scio, tu scii, lui/lei scia, noi sciamo, voi sciate, loro sciano
[to ski ],SCIARE, INDICATIVO, IMPERFETTO, io sciavo, tu sciavi, lui/lei sciava, noi sciavamo, voi sciavate, loro sciavano
[to ski ],SCIARE, INDICATIVO, PASSATO REMOTO, io sciai, tu sciasti, lui/lei sciò, noi sciammo, voi sciaste, loro sciarono
[to ski ],SCIARE, INDICATIVO, FUTURO SEMPLICE, io scierò, tu scierai, lui/lei scierà, noi scieremo, voi scierete, loro scieranno
[to ski ],SCIARE, INDICATIVO, PASSATO PROSSIMO, io ho sciato, tu hai sciato, lui/lei ha sciato, noi abbiamo sciato, voi avete sciato, loro hanno sciato
[to ski ],SCIARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo sciato, tu avevi sciato, lui/lei aveva sciato, noi avevamo sciato, voi avevate sciato, loro avevano sciato
[to ski ],SCIARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi sciato, tu avesti sciato, lui/lei ebbe sciato, noi avemmo sciato, voi aveste sciato, loro ebbero sciato
[to ski ],SCIARE, INDICATIVO, FUTURO ANTERIORE, io avrò sciato, tu avrai sciato, lui/lei avrà sciato, noi avremo sciato, voi avrete sciato, loro avranno sciato
[to ski ],SCIARE, CONGIUNTIVO, PRESENTE, che io scii, che tu scii, che lui/lei scii, che noi sciamo, che voi sciate, che loro sciino
[to ski ],SCIARE, CONGIUNTIVO, IMPERFETTO, che io sciassi, che tu sciassi, che lui/lei sciasse, che noi sciassimo, che voi sciaste, che loro sciassero
[to ski ],SCIARE, CONGIUNTIVO, PASSATO, che io abbia sciato, che tu abbia sciato, che lui/lei abbia sciato, che noi abbiamo sciato, che voi abbiate sciato, che loro abbiano sciato
[to ski ],SCIARE, CONGIUNTIVO, TRAPASSATO, che io avessi sciato, che tu avessi sciato, che lui/lei avesse sciato, che noi avessimo sciato, che voi aveste sciato, che loro avessero sciato
[to ski ],SCIARE, CONDIZIONALE, Presente, io scierei, tu scieresti, lui/lei scierebbe, noi scieremmo, voi sciereste, loro scierebbero
[to ski ],SCIARE, CONDIZIONALE, Passato, io avrei sciato, tu avresti sciato, lui/lei avrebbe sciato, noi avremmo sciato, voi avreste sciato, loro avrebbero sciato
[to ski ],SCIARE, IMPERATIVO, IMPERATIVO, PRESENTE,  scia, scii, sciamo, sciate, sciino
[to suffice ],BASTARE, INDICATIVO, PRESENTE, io basto, tu basti, lui/lei basta, noi bastiamo, voi bastate, loro bastano
[to suffice ],BASTARE, INDICATIVO, IMPERFETTO, io bastavo, tu bastavi, lui/lei bastava, noi bastavamo, voi bastavate, loro bastavano
[to suffice ],BASTARE, INDICATIVO, PASSATO REMOTO, io bastai, tu bastasti, lui/lei bastò, noi bastammo, voi bastaste, loro bastarono
[to suffice ],BASTARE, INDICATIVO, FUTURO SEMPLICE, io basterò, tu basterai, lui/lei basterà, noi basteremo, voi basterete, loro basteranno
[to suffice ],BASTARE, INDICATIVO, PASSATO PROSSIMO, io sono bastato/a, tu sei bastato/a, lui/lei è bastato/a, noi siamo bastati/e, voi siete bastati/e, loro sono bastati/e
[to suffice ],BASTARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero bastato/a, tu eri bastato/a, lui/lei era bastato/a, noi eravamo bastati/e, voi eravate bastati/e, loro erano bastati/e
[to suffice ],BASTARE, INDICATIVO, TRAPASSATO REMOTO, io fui bastato/a, tu fosti bastato/a, lui/lei fu bastato/a, noi fummo bastati/e, voi foste bastati/e, loro furono bastati/e
[to suffice ],BASTARE, INDICATIVO, FUTURO ANTERIORE, io sarò bastato/a, tu sarai bastato/a, lui/lei sarà bastato/a, noi saremo bastati/e, voi sarete bastati/e, loro saranno bastati/e
[to suffice ],BASTARE, CONGIUNTIVO, PRESENTE, che io basti, che tu basti, che lui/lei basti, che noi bastiamo, che voi bastiate, che loro bastino
[to suffice ],BASTARE, CONGIUNTIVO, IMPERFETTO, che io bastassi, che tu bastassi, che lui/lei bastasse, che noi bastassimo, che voi bastaste, che loro bastassero
[to suffice ],BASTARE, CONGIUNTIVO, PASSATO, che io sia bastato/a, che tu sia bastato/a, che lui/lei sia bastato/a, che noi siamo bastati/e, che voi siate bastati/e, che loro siano bastati/e
[to suffice ],BASTARE, CONGIUNTIVO, TRAPASSATO, che io fossi bastato/a, che tu fossi bastato/a, che lui/lei fosse bastato/a, che noi fossimo bastati/e, che voi foste bastati/e, che loro fossero bastati/e
[to suffice ],BASTARE, CONDIZIONALE, Presente, io basterei, tu basteresti, lui/lei basterebbe, noi basteremmo, voi bastereste, loro basterebbero
[to suffice ],BASTARE, CONDIZIONALE, Passato, io sarei bastato/a, tu saresti bastato/a, lui/lei sarebbe bastato/a, noi saremmo bastati/e, voi sareste bastati/e, loro sarebbero bastati/e
[to suffice ],BASTARE, IMPERATIVO, IMPERATIVO, PRESENTE,  basta, basti, bastiamo, bastate, bastino
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, PRESENTE, io distruggo, tu distruggi, lui/lei distrugge, noi distruggiamo, voi distruggete, loro distruggono
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, IMPERFETTO, io distruggevo, tu distruggevi, lui/lei distruggeva, noi distruggevamo, voi distruggevate, loro distruggevano
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, PASSATO REMOTO, io distrussi, tu distruggesti, lui/lei distrusse, noi distruggemmo, voi distruggeste, loro distrussero
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, FUTURO SEMPLICE, io distruggerò, tu distruggerai, lui/lei distruggerà, noi distruggeremo, voi distruggerete, loro distruggeranno
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, PASSATO PROSSIMO, io ho distrutto, tu hai distrutto, lui/lei ha distrutto, noi abbiamo distrutto, voi avete distrutto, loro hanno distrutto
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo distrutto, tu avevi distrutto, lui/lei aveva distrutto, noi avevamo distrutto, voi avevate distrutto, loro avevano distrutto
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi distrutto, tu avesti distrutto, lui/lei ebbe distrutto, noi avemmo distrutto, voi aveste distrutto, loro ebbero distrutto
[to destroy/demolish ],DISTRUGGERE, INDICATIVO, FUTURO ANTERIORE, io avrò distrutto, tu avrai distrutto, lui/lei avrà distrutto, noi avremo distrutto, voi avrete distrutto, loro avranno distrutto
[to destroy/demolish ],DISTRUGGERE, CONGIUNTIVO, PRESENTE, che io distrugga, che tu distrugga, che lui/lei distrugga, che noi distruggiamo, che voi distruggiate, che loro distruggano
[to destroy/demolish ],DISTRUGGERE, CONGIUNTIVO, IMPERFETTO, che io distruggessi, che tu distruggessi, che lui/lei distruggesse, che noi distruggessimo, che voi distruggeste, che loro distruggessero
[to destroy/demolish ],DISTRUGGERE, CONGIUNTIVO, PASSATO, che io abbia distrutto, che tu abbia distrutto, che lui/lei abbia distrutto, che noi abbiamo distrutto, che voi abbiate distrutto, che loro abbiano distrutto
[to destroy/demolish ],DISTRUGGERE, CONGIUNTIVO, TRAPASSATO, che io avessi distrutto, che tu avessi distrutto, che lui/lei avesse distrutto, che noi avessimo distrutto, che voi aveste distrutto, che loro avessero distrutto
[to destroy/demolish ],DISTRUGGERE, CONDIZIONALE, Presente, io distruggerei, tu distruggeresti, lui/lei distruggerebbe, noi distruggeremmo, voi distruggereste, loro distruggerebbero
[to destroy/demolish ],DISTRUGGERE, CONDIZIONALE, Passato, io avrei distrutto, tu avresti distrutto, lui/lei avrebbe distrutto, noi avremmo distrutto, voi avreste distrutto, loro avrebbero distrutto
[to destroy/demolish ],DISTRUGGERE, IMPERATIVO, IMPERATIVO, PRESENTE,  distruggi, distrugga, distruggiamo, distruggete, distruggano
[to lend/loan ],PRESTARE, INDICATIVO, PRESENTE, io presto, tu presti, lui/lei presta, noi prestiamo, voi prestate, loro prestano
[to lend/loan ],PRESTARE, INDICATIVO, IMPERFETTO, io prestavo, tu prestavi, lui/lei prestava, noi prestavamo, voi prestavate, loro prestavano
[to lend/loan ],PRESTARE, INDICATIVO, PASSATO REMOTO, io prestai, tu prestasti, lui/lei prestò, noi prestammo, voi prestaste, loro prestarono
[to lend/loan ],PRESTARE, INDICATIVO, FUTURO SEMPLICE, io presterò, tu presterai, lui/lei presterà, noi presteremo, voi presterete, loro presteranno
[to lend/loan ],PRESTARE, INDICATIVO, PASSATO PROSSIMO, io ho prestato, tu hai prestato, lui/lei ha prestato, noi abbiamo prestato, voi avete prestato, loro hanno prestato
[to lend/loan ],PRESTARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo prestato, tu avevi prestato, lui/lei aveva prestato, noi avevamo prestato, voi avevate prestato, loro avevano prestato
[to lend/loan ],PRESTARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi prestato, tu avesti prestato, lui/lei ebbe prestato, noi avemmo prestato, voi aveste prestato, loro ebbero prestato
[to lend/loan ],PRESTARE, INDICATIVO, FUTURO ANTERIORE, io avrò prestato, tu avrai prestato, lui/lei avrà prestato, noi avremo prestato, voi avrete prestato, loro avranno prestato
[to lend/loan ],PRESTARE, CONGIUNTIVO, PRESENTE, che io presti, che tu presti, che lui/lei presti, che noi prestiamo, che voi prestiate, che loro prestino
[to lend/loan ],PRESTARE, CONGIUNTIVO, IMPERFETTO, che io prestassi, che tu prestassi, che lui/lei prestasse, che noi prestassimo, che voi prestaste, che loro prestassero
[to lend/loan ],PRESTARE, CONGIUNTIVO, PASSATO, che io abbia prestato, che tu abbia prestato, che lui/lei abbia prestato, che noi abbiamo prestato, che voi abbiate prestato, che loro abbiano prestato
[to lend/loan ],PRESTARE, CONGIUNTIVO, TRAPASSATO, che io avessi prestato, che tu avessi prestato, che lui/lei avesse prestato, che noi avessimo prestato, che voi aveste prestato, che loro avessero prestato
[to lend/loan ],PRESTARE, CONDIZIONALE, Presente, io presterei, tu presteresti, lui/lei presterebbe, noi presteremmo, voi prestereste, loro presterebbero
[to lend/loan ],PRESTARE, CONDIZIONALE, Passato, io avrei prestato, tu avresti prestato, lui/lei avrebbe prestato, noi avremmo prestato, voi avreste prestato, loro avrebbero prestato
[to lend/loan ],PRESTARE, IMPERATIVO, IMPERATIVO, PRESENTE,  presta, presti, prestiamo, prestate, prestino
[to thank ],RINGRAZIARE, INDICATIVO, PRESENTE, io ringrazio, tu ringrazi, lui/lei ringrazia, noi ringraziamo, voi ringraziate, loro ringraziano
[to thank ],RINGRAZIARE, INDICATIVO, IMPERFETTO, io ringraziavo, tu ringraziavi, lui/lei ringraziava, noi ringraziavamo, voi ringraziavate, loro ringraziavano
[to thank ],RINGRAZIARE, INDICATIVO, PASSATO REMOTO, io ringraziai, tu ringraziasti, lui/lei ringraziò, noi ringraziammo, voi ringraziaste, loro ringraziarono
[to thank ],RINGRAZIARE, INDICATIVO, FUTURO SEMPLICE, io ringrazierò, tu ringrazierai, lui/lei ringrazierà, noi ringrazieremo, voi ringrazierete, loro ringrazieranno
[to thank ],RINGRAZIARE, INDICATIVO, PASSATO PROSSIMO, io ho ringraziato, tu hai ringraziato, lui/lei ha ringraziato, noi abbiamo ringraziato, voi avete ringraziato, loro hanno ringraziato
[to thank ],RINGRAZIARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo ringraziato, tu avevi ringraziato, lui/lei aveva ringraziato, noi avevamo ringraziato, voi avevate ringraziato, loro avevano ringraziato
[to thank ],RINGRAZIARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi ringraziato, tu avesti ringraziato, lui/lei ebbe ringraziato, noi avemmo ringraziato, voi aveste ringraziato, loro ebbero ringraziato
[to thank ],RINGRAZIARE, INDICATIVO, FUTURO ANTERIORE, io avrò ringraziato, tu avrai ringraziato, lui/lei avrà ringraziato, noi avremo ringraziato, voi avrete ringraziato, loro avranno ringraziato
[to thank ],RINGRAZIARE, CONGIUNTIVO, PRESENTE, che io ringrazi, che tu ringrazi, che lui/lei ringrazi, che noi ringraziamo, che voi ringraziate, che loro ringrazino
[to thank ],RINGRAZIARE, CONGIUNTIVO, IMPERFETTO, che io ringraziassi, che tu ringraziassi, che lui/lei ringraziasse, che noi ringraziassimo, che voi ringraziaste, che loro ringraziassero
[to thank ],RINGRAZIARE, CONGIUNTIVO, PASSATO, che io abbia ringraziato, che tu abbia ringraziato, che lui/lei abbia ringraziato, che noi abbiamo ringraziato, che voi abbiate ringraziato, che loro abbiano ringraziato
