Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to suck,saugen,saugend,gesogen,saugen - saugt - sog,saugte - hat gesogen,ich,sauge,du,saugst,er,sie,es,saugt,wir,saugen,ihr,saugt,sie,Sie,saugen,ich,habe gesogen,du,hast gesogen,er,sie,es,hat gesogen,wir,haben gesogen,ihr,habt gesogen,sie,Sie,haben gesogen,ich,sog,saugte,du,sogst,saugtest,er,sie,es,sog,saugte,wir,sogen,saugten,ihr,soget,saugtet,sie,Sie,sogen,saugten,ich,hatte gesogen,du,hattest gesogen,er,sie,es,hatte gesogen,wir,hatten gesogen,ihr,hattet gesogen,sie,Sie,hatten gesogen,ich,werde saugen,du,wirst saugen,er,sie,es,wird saugen,wir,werden saugen,ihr,werdet saugen,sie,Sie,werden saugen,ich,werde gesogen haben,du,wirst gesogen haben,er,sie,es,wird gesogen haben,wir,werden gesogen haben,ihr,werdet gesogen haben,sie,Sie,werden gesogen haben,ich,sauge,du,saugest,er,sie,es,sauge,wir,saugen,ihr,sauget,sie,Sie,saugen,ich,habe gesogen,du,habest gesogen,er,sie,es,habe gesogen,wir,haben gesogen,ihr,habet gesogen,sie,Sie,haben gesogen,ich,söge,du,sögest,er,sie,es,söge,wir,sögen,ihr,söget,sie,Sie,sögen,ich,hätte gesogen,du,hättest gesogen,er,sie,es,hätte gesogen,wir,hätten gesogen,ihr,hättet gesogen,sie,Sie,hätten gesogen,ich,würde saugen,du,würdest saugen,er,sie,es,würde saugen,wir,würden saugen,ihr,würdet saugen,sie,Sie,würden saugen,ich,würde gesogen haben,du,würdest gesogen haben,er,sie,es,würde gesogen haben,wir,würden gesogen haben,ihr,würdet gesogen haben,sie,Sie,würden gesogen haben,du,sauge,saug,ihr,saugt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to avenge,rächen,rächend,gerächt,rächen - rächt - rächte - hat gerächt,gerochen,ich,räche,du,rächst,er,sie,es,rächt,wir,rächen,ihr,rächt,sie,Sie,rächen,ich,habe gerächt,gerochen,du,hast gerächt,gerochen,er,sie,es,hat gerächt,gerochen,wir,haben gerächt,gerochen,ihr,habt gerächt,gerochen,sie,Sie,haben gerächt,gerochen,ich,rächte,du,rächtest,er,sie,es,rächte,wir,rächten,ihr,rächtet,sie,Sie,rächten,ich,hatte gerächt,gerochen,du,hattest gerächt,gerochen,er,sie,es,hatte gerächt,gerochen,wir,hatten gerächt,gerochen,ihr,hattet gerächt,gerochen,sie,Sie,hatten gerächt,gerochen,ich,werde rächen,du,wirst rächen,er,sie,es,wird rächen,wir,werden rächen,ihr,werdet rächen,sie,Sie,werden rächen,ich,werde gerächt,gerochen haben,du,wirst gerächt,gerochen haben,er,sie,es,wird gerächt,gerochen haben,wir,werden gerächt,gerochen haben,ihr,werdet gerächt,gerochen haben,sie,Sie,werden gerächt,gerochen haben,ich,räche,du,rächest,er,sie,es,räche,wir,rächen,ihr,rächet,sie,Sie,rächen,ich,habe gerächt,gerochen,du,habest gerächt,gerochen,er,sie,es,habe gerächt,gerochen,wir,haben gerächt,gerochen,ihr,habet gerächt,gerochen,sie,Sie,haben gerächt,gerochen,ich,rächte,du,rächtest,er,sie,es,rächte,wir,rächten,ihr,rächtet,sie,Sie,rächten,ich,hätte gerächt,gerochen,du,hättest gerächt,gerochen,er,sie,es,hätte gerächt,gerochen,wir,hätten gerächt,gerochen,ihr,hättet gerächt,gerochen,sie,Sie,hätten gerächt,gerochen,ich,würde rächen,du,würdest rächen,er,sie,es,würde rächen,wir,würden rächen,ihr,würdet rächen,sie,Sie,würden rächen,ich,würde gerächt,gerochen haben,du,würdest gerächt,gerochen haben,er,sie,es,würde gerächt,gerochen haben,wir,würden gerächt,gerochen haben,ihr,würdet gerächt,gerochen haben,sie,Sie,würden gerächt,gerochen haben,du,räche,ihr,rächt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[we/they/you] like,mögen,mögend,mögen - mag - mochte - hat gemocht,ich,mag,du,magst,er,sie,es,mag,wir,mögen,ihr,mögt,sie,Sie,mögen,ich,habe gemocht,du,hast gemocht,er,sie,es,hat gemocht,wir,haben gemocht,ihr,habt gemocht,sie,Sie,haben gemocht,ich,mochte,du,mochtest,er,sie,es,mochte,wir,mochten,ihr,mochtet,sie,Sie,mochten,ich,hatte gemocht,du,hattest gemocht,er,sie,es,hatte gemocht,wir,hatten gemocht,ihr,hattet gemocht,sie,Sie,hatten gemocht,ich,werde mögen,du,wirst mögen,er,sie,es,wird mögen,wir,werden mögen,ihr,werdet mögen,sie,Sie,werden mögen,ich,werde gemocht haben,du,wirst gemocht haben,er,sie,es,wird gemocht haben,wir,werden gemocht haben,ihr,werdet gemocht haben,sie,Sie,werden gemocht haben,ich,möge,du,mögest,er,sie,es,möge,wir,mögen,ihr,möget,sie,Sie,mögen,ich,habe gemocht,du,habest gemocht,er,sie,es,habe gemocht,wir,haben gemocht,ihr,habet gemocht,sie,Sie,haben gemocht,ich,möchte,du,möchtest,er,sie,es,möchte,wir,möchten,ihr,möchtet,sie,Sie,möchten,ich,hätte gemocht,du,hättest gemocht,er,sie,es,hätte gemocht,wir,hätten gemocht,ihr,hättet gemocht,sie,Sie,hätten gemocht,ich,würde mögen,du,würdest mögen,er,sie,es,würde mögen,wir,würden mögen,ihr,würdet mögen,sie,Sie,würden mögen,ich,würde gemocht haben,du,würdest gemocht haben,er,sie,es,würde gemocht haben,wir,würden gemocht haben,ihr,würdet gemocht haben,sie,Sie,würden gemocht haben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[we/they/you] must,müssen,müssend,müssen - muss - musste - hat gemusst,ich,muss,du,musst,er,sie,es,muss,wir,müssen,ihr,müsst,sie,Sie,müssen,ich,habe gemusst,du,hast gemusst,er,sie,es,hat gemusst,wir,haben gemusst,ihr,habt gemusst,sie,Sie,haben gemusst,ich,musste,du,musstest,er,sie,es,musste,wir,mussten,ihr,musstet,sie,Sie,mussten,ich,hatte gemusst,du,hattest gemusst,er,sie,es,hatte gemusst,wir,hatten gemusst,ihr,hattet gemusst,sie,Sie,hatten gemusst,ich,werde müssen,du,wirst müssen,er,sie,es,wird müssen,wir,werden müssen,ihr,werdet müssen,sie,Sie,werden müssen,ich,werde gemusst haben,du,wirst gemusst haben,er,sie,es,wird gemusst haben,wir,werden gemusst haben,ihr,werdet gemusst haben,sie,Sie,werden gemusst haben,ich,müsse,du,müssest,er,sie,es,müsse,wir,müssen,ihr,müsset,sie,Sie,müssen,ich,habe gemusst,du,habest gemusst,er,sie,es,habe gemusst,wir,haben gemusst,ihr,habet gemusst,sie,Sie,haben gemusst,ich,müsste,du,müsstest,er,sie,es,müsste,wir,müssten,ihr,müsstet,sie,Sie,müssten,ich,hätte gemusst,du,hättest gemusst,er,sie,es,hätte gemusst,wir,hätten gemusst,ihr,hättet gemusst,sie,Sie,hätten gemusst,ich,würde müssen,du,würdest müssen,er,sie,es,würde müssen,wir,würden müssen,ihr,würdet müssen,sie,Sie,würden müssen,ich,würde gemusst haben,du,würdest gemusst haben,er,sie,es,würde gemusst haben,wir,würden gemusst haben,ihr,würdet gemusst haben,sie,Sie,würden gemusst haben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to gnaw,nagen,nagend,genagt,nagen - nagt - nagte - hat genagt,genagen,ich,nage,du,nagst,er,sie,es,nagt,wir,nagen,ihr,nagt,sie,Sie,nagen,ich,habe genagt,genagen,du,hast genagt,genagen,er,sie,es,hat genagt,genagen,wir,haben genagt,genagen,ihr,habt genagt,genagen,sie,Sie,haben genagt,genagen,ich,nagte,du,nagtest,er,sie,es,nagte,wir,nagten,ihr,nagtet,sie,Sie,nagten,ich,hatte genagt,genagen,du,hattest genagt,genagen,er,sie,es,hatte genagt,genagen,wir,hatten genagt,genagen,ihr,hattet genagt,genagen,sie,Sie,hatten genagt,genagen,ich,werde nagen,du,wirst nagen,er,sie,es,wird nagen,wir,werden nagen,ihr,werdet nagen,sie,Sie,werden nagen,ich,werde genagt,genagen haben,du,wirst genagt,genagen haben,er,sie,es,wird genagt,genagen haben,wir,werden genagt,genagen haben,ihr,werdet genagt,genagen haben,sie,Sie,werden genagt,genagen haben,ich,nage,du,nagest,er,sie,es,nage,wir,nagen,ihr,naget,sie,Sie,nagen,ich,habe genagt,genagen,du,habest genagt,genagen,er,sie,es,habe genagt,genagen,wir,haben genagt,genagen,ihr,habet genagt,genagen,sie,Sie,haben genagt,genagen,ich,nagte,du,nagtest,er,sie,es,nagte,wir,nagten,ihr,nagtet,sie,Sie,nagten,ich,hätte genagt,genagen,du,hättest genagt,genagen,er,sie,es,hätte genagt,genagen,wir,hätten genagt,genagen,ihr,hättet genagt,genagen,sie,Sie,hätten genagt,genagen,ich,würde nagen,du,würdest nagen,er,sie,es,würde nagen,wir,würden nagen,ihr,würdet nagen,sie,Sie,würden nagen,ich,würde genagt,genagen haben,du,würdest genagt,genagen haben,er,sie,es,würde genagt,genagen haben,wir,würden genagt,genagen haben,ihr,würdet genagt,genagen haben,sie,Sie,würden genagt,genagen haben,du,nage,ihr,nagt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to sacrifice,opfern,opfernd,geopfert,opfern - opfert - opferte - hat geopfert,ich,opfere,opfre,du,opferst,er,sie,es,opfert,wir,opfern,ihr,opfert,sie,Sie,opfern,ich,habe geopfert,du,hast geopfert,er,sie,es,hat geopfert,wir,haben geopfert,ihr,habt geopfert,sie,Sie,haben geopfert,ich,opferte,du,opfertest,er,sie,es,opferte,wir,opferten,ihr,opfertet,sie,Sie,opferten,ich,hatte geopfert,du,hattest geopfert,er,sie,es,hatte geopfert,wir,hatten geopfert,ihr,hattet geopfert,sie,Sie,hatten geopfert,ich,werde opfern,du,wirst opfern,er,sie,es,wird opfern,wir,werden opfern,ihr,werdet opfern,sie,Sie,werden opfern,ich,werde geopfert haben,du,wirst geopfert haben,er,sie,es,wird geopfert haben,wir,werden geopfert haben,ihr,werdet geopfert haben,sie,Sie,werden geopfert haben,ich,opfere,opfre,du,opferest,opfrest,er,sie,es,opfere,opfre,wir,opferen,ihr,opferet,sie,Sie,opferen,ich,habe geopfert,du,habest geopfert,er,sie,es,habe geopfert,wir,haben geopfert,ihr,habet geopfert,sie,Sie,haben geopfert,ich,opferte,du,opfertest,er,sie,es,opferte,wir,opferten,ihr,opfertet,sie,Sie,opferten,ich,hätte geopfert,du,hättest geopfert,er,sie,es,hätte geopfert,wir,hätten geopfert,ihr,hättet geopfert,sie,Sie,hätten geopfert,ich,würde opfern,du,würdest opfern,er,sie,es,würde opfern,wir,würden opfern,ihr,würdet opfern,sie,Sie,würden opfern,ich,würde geopfert haben,du,würdest geopfert haben,er,sie,es,würde geopfert haben,wir,würden geopfert haben,ihr,würdet geopfert haben,sie,Sie,würden geopfert haben,du,opfere,opfre,ihr,opfert,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to meet sb. [to get to know],kennenlernen,kennenlernend,gekennenlernt,kennenlernen - kennenlernt - kennenlernte - hat gekennenlernt,ich,kennenlerne,du,kennenlernst,er,sie,es,kennenlernt,wir,kennenlernen,ihr,kennenlernt,sie,Sie,kennenlernen,ich,habe gekennenlernt,du,hast gekennenlernt,er,sie,es,hat gekennenlernt,wir,haben gekennenlernt,ihr,habt gekennenlernt,sie,Sie,haben gekennenlernt,ich,kennenlernte,du,kennenlerntest,er,sie,es,kennenlernte,wir,kennenlernten,ihr,kennenlerntet,sie,Sie,kennenlernten,ich,hatte gekennenlernt,du,hattest gekennenlernt,er,sie,es,hatte gekennenlernt,wir,hatten gekennenlernt,ihr,hattet gekennenlernt,sie,Sie,hatten gekennenlernt,ich,werde kennenlernen,du,wirst kennenlernen,er,sie,es,wird kennenlernen,wir,werden kennenlernen,ihr,werdet kennenlernen,sie,Sie,werden kennenlernen,ich,werde gekennenlernt haben,du,wirst gekennenlernt haben,er,sie,es,wird gekennenlernt haben,wir,werden gekennenlernt haben,ihr,werdet gekennenlernt haben,sie,Sie,werden gekennenlernt haben,ich,kennenlerne,du,kennenlernest,er,sie,es,kennenlerne,wir,kennenlernen,ihr,kennenlernet,sie,Sie,kennenlernen,ich,habe gekennenlernt,du,habest gekennenlernt,er,sie,es,habe gekennenlernt,wir,haben gekennenlernt,ihr,habet gekennenlernt,sie,Sie,haben gekennenlernt,ich,kennenlernte,du,kennenlerntest,er,sie,es,kennenlernte,wir,kennenlernten,ihr,kennenlerntet,sie,Sie,kennenlernten,ich,hätte gekennenlernt,du,hättest gekennenlernt,er,sie,es,hätte gekennenlernt,wir,hätten gekennenlernt,ihr,hättet gekennenlernt,sie,Sie,hätten gekennenlernt,ich,würde kennenlernen,du,würdest kennenlernen,er,sie,es,würde kennenlernen,wir,würden kennenlernen,ihr,würdet kennenlernen,sie,Sie,würden kennenlernen,ich,würde gekennenlernt haben,du,würdest gekennenlernt haben,er,sie,es,würde gekennenlernt haben,wir,würden gekennenlernt haben,ihr,würdet gekennenlernt haben,sie,Sie,würden gekennenlernt haben,du,kennenlerne,ihr,kennenlernt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[we/they/you] can,können,könnend,können - kann - konnte - hat gekonnt,ich,kann,du,kannst,er,sie,es,kann,wir,können,ihr,könnt,sie,Sie,können,ich,habe gekonnt,du,hast gekonnt,er,sie,es,hat gekonnt,wir,haben gekonnt,ihr,habt gekonnt,sie,Sie,haben gekonnt,ich,konnte,du,konntest,er,sie,es,konnte,wir,konnten,ihr,konntet,sie,Sie,konnten,ich,hatte gekonnt,du,hattest gekonnt,er,sie,es,hatte gekonnt,wir,hatten gekonnt,ihr,hattet gekonnt,sie,Sie,hatten gekonnt,ich,werde können,du,wirst können,er,sie,es,wird können,wir,werden können,ihr,werdet können,sie,Sie,werden können,ich,werde gekonnt haben,du,wirst gekonnt haben,er,sie,es,wird gekonnt haben,wir,werden gekonnt haben,ihr,werdet gekonnt haben,sie,Sie,werden gekonnt haben,ich,könne,du,könnest,er,sie,es,könne,wir,können,ihr,könnet,sie,Sie,können,ich,habe gekonnt,du,habest gekonnt,er,sie,es,habe gekonnt,wir,haben gekonnt,ihr,habet gekonnt,sie,Sie,haben gekonnt,ich,könnte,du,könntest,er,sie,es,könnte,wir,könnten,ihr,könntet,sie,Sie,könnten,ich,hätte gekonnt,du,hättest gekonnt,er,sie,es,hätte gekonnt,wir,hätten gekonnt,ihr,hättet gekonnt,sie,Sie,hätten gekonnt,ich,würde können,du,würdest können,er,sie,es,würde können,wir,würden können,ihr,würdet können,sie,Sie,würden können,ich,würde gekonnt haben,du,würdest gekonnt haben,er,sie,es,würde gekonnt haben,wir,würden gekonnt haben,ihr,würdet gekonnt haben,sie,Sie,würden gekonnt haben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to complain,jammern,jammernd,gejammert,jammern - jammert - jammerte - hat gejammert,ich,jammere,jammre,du,jammerst,er,sie,es,jammert,wir,jammern,ihr,jammert,sie,Sie,jammern,ich,habe gejammert,du,hast gejammert,er,sie,es,hat gejammert,wir,haben gejammert,ihr,habt gejammert,sie,Sie,haben gejammert,ich,jammerte,du,jammertest,er,sie,es,jammerte,wir,jammerten,ihr,jammertet,sie,Sie,jammerten,ich,hatte gejammert,du,hattest gejammert,er,sie,es,hatte gejammert,wir,hatten gejammert,ihr,hattet gejammert,sie,Sie,hatten gejammert,ich,werde jammern,du,wirst jammern,er,sie,es,wird jammern,wir,werden jammern,ihr,werdet jammern,sie,Sie,werden jammern,ich,werde gejammert haben,du,wirst gejammert haben,er,sie,es,wird gejammert haben,wir,werden gejammert haben,ihr,werdet gejammert haben,sie,Sie,werden gejammert haben,ich,jammere,jammre,du,jammerest,jammrest,er,sie,es,jammere,jammre,wir,jammeren,ihr,jammeret,sie,Sie,jammeren,ich,habe gejammert,du,habest gejammert,er,sie,es,habe gejammert,wir,haben gejammert,ihr,habet gejammert,sie,Sie,haben gejammert,ich,jammerte,du,jammertest,er,sie,es,jammerte,wir,jammerten,ihr,jammertet,sie,Sie,jammerten,ich,hätte gejammert,du,hättest gejammert,er,sie,es,hätte gejammert,wir,hätten gejammert,ihr,hättet gejammert,sie,Sie,hätten gejammert,ich,würde jammern,du,würdest jammern,er,sie,es,würde jammern,wir,würden jammern,ihr,würdet jammern,sie,Sie,würden jammern,ich,würde gejammert haben,du,würdest gejammert haben,er,sie,es,würde gejammert haben,wir,würden gejammert haben,ihr,würdet gejammert haben,sie,Sie,würden gejammert haben,du,jammere,jammre,ihr,jammert,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to chop sth. [hew],hauen,hauend,gehauen,hauen - haut - hieb,haute - hat gehauen,ich,haue,du,haust,er,sie,es,haut,wir,hauen,ihr,haut,sie,Sie,hauen,ich,habe gehauen,du,hast gehauen,er,sie,es,hat gehauen,wir,haben gehauen,ihr,habt gehauen,sie,Sie,haben gehauen,ich,hieb,haute,du,hiebst,hautest,er,sie,es,hieb,haute,wir,hieben,hauten,ihr,hiebt,hautet,sie,Sie,hieben,hauten,ich,hatte gehauen,du,hattest gehauen,er,sie,es,hatte gehauen,wir,hatten gehauen,ihr,hattet gehauen,sie,Sie,hatten gehauen,ich,werde hauen,du,wirst hauen,er,sie,es,wird hauen,wir,werden hauen,ihr,werdet hauen,sie,Sie,werden hauen,ich,werde gehauen haben,du,wirst gehauen haben,er,sie,es,wird gehauen haben,wir,werden gehauen haben,ihr,werdet gehauen haben,sie,Sie,werden gehauen haben,ich,haue,du,hauest,er,sie,es,haue,wir,hauen,ihr,hauet,sie,Sie,hauen,ich,habe gehauen,du,habest gehauen,er,sie,es,habe gehauen,wir,haben gehauen,ihr,habet gehauen,sie,Sie,haben gehauen,ich,hiebe,du,hiebest,er,sie,es,hiebe,wir,hieben,ihr,hiebet,sie,Sie,hieben,ich,hätte gehauen,du,hättest gehauen,er,sie,es,hätte gehauen,wir,hätten gehauen,ihr,hättet gehauen,sie,Sie,hätten gehauen,ich,würde hauen,du,würdest hauen,er,sie,es,würde hauen,wir,würden hauen,ihr,würdet hauen,sie,Sie,würden hauen,ich,würde gehauen haben,du,würdest gehauen haben,er,sie,es,würde gehauen haben,wir,würden gehauen haben,ihr,würdet gehauen haben,sie,Sie,würden gehauen haben,du,haue,hau,ihr,haut,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to challenge sb./sth.,herausfordern,herausfordernd,herausgefordert,herausfordern - fordert heraus - forderte heraus - hat herausgefordert,ich,fordere heraus,fordre heraus,du,forderst heraus,er,sie,es,fordert heraus,wir,fordern heraus,ihr,fordert heraus,sie,Sie,fordern heraus,ich,habe herausgefordert,du,hast herausgefordert,er,sie,es,hat herausgefordert,wir,haben herausgefordert,ihr,habt herausgefordert,sie,Sie,haben herausgefordert,ich,forderte heraus,du,fordertest heraus,er,sie,es,forderte heraus,wir,forderten heraus,ihr,fordertet heraus,sie,Sie,forderten heraus,ich,hatte herausgefordert,du,hattest herausgefordert,er,sie,es,hatte herausgefordert,wir,hatten herausgefordert,ihr,hattet herausgefordert,sie,Sie,hatten herausgefordert,ich,werde herausfordern,du,wirst herausfordern,er,sie,es,wird herausfordern,wir,werden herausfordern,ihr,werdet herausfordern,sie,Sie,werden herausfordern,ich,werde herausgefordert haben,du,wirst herausgefordert haben,er,sie,es,wird herausgefordert haben,wir,werden herausgefordert haben,ihr,werdet herausgefordert haben,sie,Sie,werden herausgefordert haben,ich,fordere heraus,fordre heraus,du,forderest heraus,fordrest heraus,er,sie,es,fordere heraus,fordre heraus,wir,forderen heraus,ihr,forderet heraus,sie,Sie,forderen heraus,ich,habe herausgefordert,du,habest herausgefordert,er,sie,es,habe herausgefordert,wir,haben herausgefordert,ihr,habet herausgefordert,sie,Sie,haben herausgefordert,ich,forderte heraus,du,fordertest heraus,er,sie,es,forderte heraus,wir,forderten heraus,ihr,fordertet heraus,sie,Sie,forderten heraus,ich,hätte herausgefordert,du,hättest herausgefordert,er,sie,es,hätte herausgefordert,wir,hätten herausgefordert,ihr,hättet herausgefordert,sie,Sie,hätten herausgefordert,ich,würde herausfordern,du,würdest herausfordern,er,sie,es,würde herausfordern,wir,würden herausfordern,ihr,würdet herausfordern,sie,Sie,würden herausfordern,ich,würde herausgefordert haben,du,würdest herausgefordert haben,er,sie,es,würde herausgefordert haben,wir,würden herausgefordert haben,ihr,würdet herausgefordert haben,sie,Sie,würden herausgefordert haben,du,fordere heraus,fordre heraus,ihr,fordert heraus,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to bake,backen,backend,gebacken,backen - bäckt - buk,backte - hat gebacken,ich,backe,du,bäckst,er,sie,es,bäckt,wir,backen,ihr,backt,sie,Sie,backen,ich,habe gebacken,du,hast gebacken,er,sie,es,hat gebacken,wir,haben gebacken,ihr,habt gebacken,sie,Sie,haben gebacken,ich,buk,backte,du,bukest,backtest,er,sie,es,buk,backte,wir,buken,backten,ihr,buket,backtet,sie,Sie,buken,backten,ich,hatte gebacken,du,hattest gebacken,er,sie,es,hatte gebacken,wir,hatten gebacken,ihr,hattet gebacken,sie,Sie,hatten gebacken,ich,werde backen,du,wirst backen,er,sie,es,wird backen,wir,werden backen,ihr,werdet backen,sie,Sie,werden backen,ich,werde gebacken haben,du,wirst gebacken haben,er,sie,es,wird gebacken haben,wir,werden gebacken haben,ihr,werdet gebacken haben,sie,Sie,werden gebacken haben,ich,backe,du,backest,er,sie,es,backe,wir,backen,ihr,backet,sie,Sie,backen,ich,habe gebacken,du,habest gebacken,er,sie,es,habe gebacken,wir,haben gebacken,ihr,habet gebacken,sie,Sie,haben gebacken,ich,büke,du,bükest,er,sie,es,büke,wir,büken,ihr,büket,sie,Sie,büken,ich,hätte gebacken,du,hättest gebacken,er,sie,es,hätte gebacken,wir,hätten gebacken,ihr,hättet gebacken,sie,Sie,hätten gebacken,ich,würde backen,du,würdest backen,er,sie,es,würde backen,wir,würden backen,ihr,würdet backen,sie,Sie,würden backen,ich,würde gebacken haben,du,würdest gebacken haben,er,sie,es,würde gebacken haben,wir,würden gebacken haben,ihr,würdet gebacken haben,sie,Sie,würden gebacken haben,du,backe,ihr,backt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hinder,hindern,hindernd,gehindert,hindern - hindert - hinderte - hat gehindert,ich,hindere,hindre,du,hinderst,er,sie,es,hindert,wir,hindern,ihr,hindert,sie,Sie,hindern,ich,habe gehindert,du,hast gehindert,er,sie,es,hat gehindert,wir,haben gehindert,ihr,habt gehindert,sie,Sie,haben gehindert,ich,hinderte,du,hindertest,er,sie,es,hinderte,wir,hinderten,ihr,hindertet,sie,Sie,hinderten,ich,hatte gehindert,du,hattest gehindert,er,sie,es,hatte gehindert,wir,hatten gehindert,ihr,hattet gehindert,sie,Sie,hatten gehindert,ich,werde hindern,du,wirst hindern,er,sie,es,wird hindern,wir,werden hindern,ihr,werdet hindern,sie,Sie,werden hindern,ich,werde gehindert haben,du,wirst gehindert haben,er,sie,es,wird gehindert haben,wir,werden gehindert haben,ihr,werdet gehindert haben,sie,Sie,werden gehindert haben,ich,hindere,hindre,du,hinderest,hindrest,er,sie,es,hindere,hindre,wir,hinderen,ihr,hinderet,sie,Sie,hinderen,ich,habe gehindert,du,habest gehindert,er,sie,es,habe gehindert,wir,haben gehindert,ihr,habet gehindert,sie,Sie,haben gehindert,ich,hinderte,du,hindertest,er,sie,es,hinderte,wir,hinderten,ihr,hindertet,sie,Sie,hinderten,ich,hätte gehindert,du,hättest gehindert,er,sie,es,hätte gehindert,wir,hätten gehindert,ihr,hättet gehindert,sie,Sie,hätten gehindert,ich,würde hindern,du,würdest hindern,er,sie,es,würde hindern,wir,würden hindern,ihr,würdet hindern,sie,Sie,würden hindern,ich,würde gehindert haben,du,würdest gehindert haben,er,sie,es,würde gehindert haben,wir,würden gehindert haben,ihr,würdet gehindert haben,sie,Sie,würden gehindert haben,du,hindere,hindre,ihr,hindert,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
